Timestamp,How would you rate the course?,Did you learn many things in this course?,Rate the instructor's knowledge in this field,Contribution to learning [Level of skill/knowledge at start of course],Contribution to learning [Level of skill/knowledge at end of course],Contribution to learning [Level of skill/knowledge required to complete the course],Contribution to learning [Contribution of course to your skill/knowledge],Skill and responsiveness of the instructor [Instructor was an effective lecturer/demonstrator],Skill and responsiveness of the instructor [Presentations were clear and organized],Skill and responsiveness of the instructor [Instructor stimulated student interest],Skill and responsiveness of the instructor [Instructor effectively used time during class periods],Skill and responsiveness of the instructor [Instructor was available and helpful],Skill and responsiveness of the instructor [Grading was prompt and had useful feedback],Course content [Learning objectives were clear],Course content [Course content was organized and well planned],Course content [Course workload was appropriate],Course content [Course organized to allow all students to participate fully],What aspects of this course were most useful or valuable?,How would you improve this course (Wishlist)? ,Any final message to me?
2021/02/09 7:26:23 PM GMT+8,5,4,5,Poor,Very good,Satisfactory,Very good,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Learning about machine learning such as the process from start to end and learning about different aspects in each process.,None,Thank you for the term sir!
2021/02/09 7:26:30 PM GMT+8,4,4,4,Fair,Satisfactory,Satisfactory,Very good,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,"Probably the fact that it cleared things up about what machine learning really is and how it's not such a simple and narrow topic, but a broad and complex one at that.",Probably have more time dedicated to activities with the class? Maybe something like working on a notebook from scratch as a class then proceed as groupwork/homework,Thank you sir for being patient with us and doing your best despite the difficulties of online classes. I hope you continue to give your all when teaching and continue to try and connect with your students in the future. Thank you again!
2021/02/09 7:28:02 PM GMT+8,4,5,5,Fair,Satisfactory,Fair,Satisfactory,Agree,Strongly agree,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,It was really helpful to dive into the objective and methodology of each of the ML Algorithms you taught as it made understanding each algorithm easier - sans the mathematics although thats not the fault of the syllabus itself.,"A heads up on what previous lessons could be applied to the subject (e.g. statistics, derivatives) and optional practice material to help the students refresh their skills.",Sir would there be any way for us to contact you after this term? So I could consult you about machine learning and its application to real world scenarios as I appreciate your input. Thank you for teaching the course!
2021/02/09 7:28:56 PM GMT+8,4,4,4,Fair,Satisfactory,Satisfactory,Very good,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,home works,n/a,thank you for the term
2021/02/09 7:29:42 PM GMT+8,4,5,4,Poor,Satisfactory,Very good,Very good,Agree,Agree,Neutral,Agree,Strongly agree,Agree,Agree,Neutral,Agree,Agree,Learning on how the machine learning pipeline should look like allowed me to see its usefulness in a lot of problems.,NA,"Thank you sir for teaching us the entire term! Thanks for being accommodating to us and willing to take it slow for us to slowly understand the topics. At the start I really didn't understand anything at all but now, through the projects I worked on, I was able to somewhat understand more about machine learning and how it is to be implemented. Aside from that, thank you din for being kind and open to us especially when we just talk about random stuff may it be about genshin or anything else. This really made you more approachable. Good luck in your future endeavors sir!"
2021/02/09 7:33:08 PM GMT+8,5,4,5,Poor,Satisfactory,Very good,Very good,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Learning how to do proper machine learning techniques since this would be helpful for our thesis. Learned how to properly pre-process data to be able to properly classify the data,,"Thank you sir for the wonderful term. Sorry if I didn't participate during classes that much :( ML is a lot to take in :( But thank you for being a kind prof and for properly teaching this course. Advanced happy valentine's day to you, too!! :D Stay safe po :)"
2021/02/09 7:35:06 PM GMT+8,4,4,5,Excellent,Excellent,Excellent,Excellent,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,
2021/02/09 7:39:20 PM GMT+8,5,5,5,Fair,Very good,Satisfactory,Very good,Agree,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,,,Thank you Sir for your patience with us and making sure that we understand what you teach. 
2021/02/09 7:46:15 PM GMT+8,5,5,5,Satisfactory,Excellent,Very good,Excellent,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,cooperative work,n/a,Thank you for this term po sir!
2021/02/09 7:51:56 PM GMT+8,4,5,5,Fair,Very good,Very good,Excellent,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,"I think the most valuable aspect of the course was that it was able to cement a solid foundation of machine learning. Given how big the field is and how we're moving ever-closer to applying machine learning in many different fields, I think the foundations given by the course will definitely be useful and will be a huge skill set in my professional career. Another thing I found very valuable as well was that the course was able to give importance to machine learning and explain different machine learning concepts that seem very daunting and complicated at first. And although this was only an introductory course, the topics and lessons I learned over the term was definitely plenty and has further piqued my interest in the topic.","If I were to name a few things that can be improve in the course, it'll probably be the complexity of some of the lessons. Maybe it was because I had no formal background in linear algebra, but there were some lessons where I would get a bit lost into the explanations of some of the formulas different machine learning techniques would use. In the future, maybe it might be better to start of with an a top-down or a layman's explanation of those formulas or techniques to give a better grasp on what's supposed to be happening before giving a more in-depth explanation.","Hi, Sir!! Thank you very much for being our prof for the past term and for teaching us a lot of new concepts and techniques within machine learning. It's sad to know that the term is quickly ending but I just want to say that I'm very grateful for the past few months and for the considerations you've given to me and the rest of the class. I really appreciate that you're constantly asking for feedback, since as a student, it's hard when it feels like a prof isn't listening in to your struggles. I do hope that we meet again soon and I also hope we weren't much of a headache for you, Sir. Thank you again and wishing you the best in the rest of your teaching career. :>>"
